_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,well,container_id,aliquot_id,od,fluor_gain_0.16,fluor_gain_0.16/od
5e39e9dff5eedd8c7ebf3dd2,sample.transcriptic.aq1dw7gywvku9pt.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,666273f57d5768ff855a2b0130ea383f1bb2298a,"B_subtilis_WT_JH642 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_JH642,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,a1,ct1dw646ft2hrvp,aq1dw7gywvku9pt,0.05437849271193869,1.7914099345701382,32.94335
5e39e9dbf5eedd8c7ebf3d22,sample.transcriptic.aq1dw7gywvku9pw.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,c5a86583dc9d27fee958cafb135a4a1d68cef49f,"B_subtilis_WT_PY79 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,b1,ct1dw646ft2hrvp,aq1dw7gywvku9pw,0.8228651708088563,12.927647300149951,15.71053
5e39e9dff5eedd8c7ebf3dc2,sample.transcriptic.aq1dw7gywvmyftv.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,a9e4860c70e3f29566c0db177b6ea6a367b10f4b,"B_subtilis_LG227 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,c1,ct1dw646ft2hrvp,aq1dw7gywvmyftv,0.04971249944815683,2.1252458471762763,42.75073
5e39e9def5eedd8c7ebf3da7,sample.transcriptic.aq1dw7gywvmyfty.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,1f7e80be05f5cb821779f1e260c91c44cb3c0a13,"B_subtilis_LG371 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG371,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,d1,ct1dw646ft2hrvp,aq1dw7gywvmyfty,0.25065289011946756,4.502846348123205,17.96447
5e39e9dcf5eedd8c7ebf3d53,sample.transcriptic.aq1dw7gywvp4nxx.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,71198c35209f2e28971008c2c65b13bd60eafaef,"B_subtilis_GFP_min | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_min,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,e1,ct1dw646ft2hrvp,aq1dw7gywvp4nxx,0.048200262744347695,1.285015226110215,26.65992
5e39e9ddf5eedd8c7ebf3d6d,sample.transcriptic.aq1dw7gywvq8v3w.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,8e7ac0b2c93839694f6a45abdc74dee78198fad9,"B_subtilis_GFP_medium | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_medium,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,f1,ct1dw646ft2hrvp,aq1dw7gywvq8v3w,0.05314566392295037,1.2784556877286621,24.05569
5e39e9ddf5eedd8c7ebf3d8f,sample.transcriptic.aq1dw7gywvq8v3z.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_max,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,g1,ct1dw646ft2hrvp,aq1dw7gywvq8v3z,0.044880100029394215,1.5209998109023273,33.89029
5e39e9daf5eedd8c7ebf3d11,sample.transcriptic.aq1dw7gywvrd37x.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,4,59201de63e75d924bb787d6a1ea23889f54251cf,"MediaControl | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,h1,ct1dw646ft2hrvp,aq1dw7gywvrd37x,0.03566538231312642,1.3526494392961916,37.92612
5e39e9dff5eedd8c7ebf3dd0,sample.transcriptic.aq1dw7gywvrd382.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,666273f57d5768ff855a2b0130ea383f1bb2298a,"B_subtilis_WT_JH642 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_JH642,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,a2,ct1dw646ft2hrvp,aq1dw7gywvrd382,0.05045369882130987,2.1195671491766337,42.01014
5e39e9dbf5eedd8c7ebf3d24,sample.transcriptic.aq1dw7gywvsh9c2.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,c5a86583dc9d27fee958cafb135a4a1d68cef49f,"B_subtilis_WT_PY79 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,b2,ct1dw646ft2hrvp,aq1dw7gywvsh9c2,0.42820683028364503,6.275731488498401,14.65584
5e39e9dff5eedd8c7ebf3dc0,sample.transcriptic.aq1dw7gywvtnffz.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,a9e4860c70e3f29566c0db177b6ea6a367b10f4b,"B_subtilis_LG227 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,c2,ct1dw646ft2hrvp,aq1dw7gywvtnffz,0.04545713335361351,2.101092869926587,46.22141
5e39e9dbf5eedd8c7ebf3d3a,sample.transcriptic.aq1dw7gywvtnfg4.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,1f7e80be05f5cb821779f1e260c91c44cb3c0a13,"B_subtilis_LG371 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG371,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,d2,ct1dw646ft2hrvp,aq1dw7gywvtnfg4,0.23225584104321922,4.246844780824635,18.2852
5e39e9dcf5eedd8c7ebf3d55,sample.transcriptic.aq1dw7gywvusnm3.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,71198c35209f2e28971008c2c65b13bd60eafaef,"B_subtilis_GFP_min | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_min,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,e2,ct1dw646ft2hrvp,aq1dw7gywvusnm3,0.046680322660189726,1.9250390379754243,41.23877
5e39e9ddf5eedd8c7ebf3d6f,sample.transcriptic.aq1dw7gywvusnm6.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,8e7ac0b2c93839694f6a45abdc74dee78198fad9,"B_subtilis_GFP_medium | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_medium,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,f2,ct1dw646ft2hrvp,aq1dw7gywvusnm6,0.05153304723221346,2.0193650017824125,39.18583
5e39e9ddf5eedd8c7ebf3d91,sample.transcriptic.aq1dw7gywvvwur5.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,289d0c18c0ad76402d815d4456e8b0f1eff6b868,"B_subtilis_GFP_max | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_GFP_max,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,g2,ct1dw646ft2hrvp,aq1dw7gywvvwur5,0.04366830570579544,2.74527162808633,62.86646
5e39e9daf5eedd8c7ebf3d0f,sample.transcriptic.aq1dw7gywvx32v4.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,5,59201de63e75d924bb787d6a1ea23889f54251cf,"MediaControl | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | MEDIA_BLANK",MediaControl,Media_control,Blank,MEDIA_BLANK,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,h2,ct1dw646ft2hrvp,aq1dw7gywvx32v4,0.03407025881372667,1.981918837005781,58.17152
5e39e9dff5eedd8c7ebf3dce,sample.transcriptic.aq1dw7gywvx32v7.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,6,666273f57d5768ff855a2b0130ea383f1bb2298a,"B_subtilis_WT_JH642 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_JH642,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,a3,ct1dw646ft2hrvp,aq1dw7gywvx32v7,0.046918339407891606,1.0952281933201005,23.34329
5e39e9dbf5eedd8c7ebf3d26,sample.transcriptic.aq1dw7gywvy78z5.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,6,c5a86583dc9d27fee958cafb135a4a1d68cef49f,"B_subtilis_WT_PY79 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_WT_PY79,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,b3,ct1dw646ft2hrvp,aq1dw7gywvy78z5,0.4654600780055658,8.847054131377378,19.00712
5e39e9def5eedd8c7ebf3dbe,sample.transcriptic.aq1dw7gywvy78z8.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,6,a9e4860c70e3f29566c0db177b6ea6a367b10f4b,"B_subtilis_LG227 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG227,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,c3,ct1dw646ft2hrvp,aq1dw7gywvy78z8,0.04404656637388614,1.772960797881399,40.25196
5e39e9dbf5eedd8c7ebf3d3c,sample.transcriptic.aq1dw7gywvzbf57.experiment.transcriptic.r1dw646fd4qxya,NovelChassis-OR-Circuit-Cycle0-24hour,experiment.transcriptic.r1dw646fd4qxya,transcriptic,6,1f7e80be05f5cb821779f1e260c91c44cb3c0a13,"B_subtilis_LG371 | 30.0 | [18.0] | {""Modified M9 Media"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B_subtilis_LG371,,,,,Modified M9 Media,,,,['Modified M9 Media'],30.0,celsius,18.0,hour,d3,ct1dw646ft2hrvp,aq1dw7gywvzbf57,0.3838405342847006,6.195541938723859,16.14093
